date,90-PM10,94-CO,94-NO2,73-CO,73-SO2,83-PM10,83-O3,83-CO,83-NO2,83-SO2,85-PM10,85-O3,85-CO,72-PM10,72-O3,72-CO,99-PM10,99-O3,99-CO,99-NO2,64-PM10,63-PM10
2005-10-15 01:00:00,31.0,0.4,56.59,0.9,1.0,37.0,27.0,0.6,34.57,2.0,23.0,31.0,0.6,9.0,25.0,0.7,14.0,6.0,0.9,42.47,22.0,11.0
2005-10-15 02:00:00,36.0,0.3,56.0,0.9,1.0,25.0,19.0,0.6,39.0,3.0,34.0,15.0,0.7,33.0,21.0,0.7,16.0,4.0,0.9,54.0,22.0,42.0
2005-10-15 03:00:00,34.0,0.4,61.0,0.9,2.0,26.0,10.0,0.6,51.0,5.0,38.0,4.0,0.8,31.0,7.0,0.8,29.0,6.0,0.7,49.0,28.0,42.0
2005-10-15 04:00:00,37.0,0.3,58.0,1.0,4.17,30.0,9.0,0.6,49.0,0.19,42.0,5.0,0.8,34.0,9.0,0.7,29.0,7.0,0.7,41.0,37.0,32.0
2005-10-15 05:00:00,27.0,0.95,51.0,1.58,3.0,27.0,9.0,0.56,50.0,3.0,31.0,20.0,0.63,26.0,7.0,0.8,43.0,0.0,0.74,52.0,55.0,32.0
2005-10-15 06:00:00,36.0,0.7,53.0,1.0,4.0,23.0,23.73,0.6,36.0,2.0,21.0,41.55,0.6,32.0,10.65,0.8,37.0,40.57,0.8,47.0,68.0,28.0
2005-10-15 07:00:00,35.0,0.7,56.0,1.6,11.0,31.0,23.0,0.5,41.0,3.0,23.0,27.0,0.6,26.0,13.0,0.7,35.0,6.0,0.7,43.0,38.0,30.0
2005-10-15 08:00:00,31.0,0.8,59.0,1.8,11.0,22.0,45.0,0.5,28.0,3.0,32.0,33.0,0.6,29.0,17.0,0.7,32.0,19.0,0.6,39.0,22.0,35.0
2005-10-15 09:00:00,13.0,0.8,61.0,2.1,12.0,5.0,52.0,0.5,24.0,4.0,10.0,46.0,0.6,13.0,21.0,0.8,10.0,32.0,0.6,29.0,15.0,38.0
2005-10-15 10:00:00,13.0,1.1,65.0,2.6,13.0,2.0,56.0,0.5,25.0,2.0,3.0,51.0,0.6,7.0,30.0,0.9,6.0,30.0,0.8,37.0,4.0,24.0
2005-10-15 11:00:00,14.0,1.3,70.0,2.4,15.0,15.0,67.0,0.5,23.0,2.0,18.0,44.0,0.8,17.0,38.0,0.8,12.0,24.0,0.7,43.0,7.0,16.0
2005-10-15 12:00:00,10.0,1.1,66.0,2.2,15.0,2.0,67.0,0.5,22.0,1.0,2.0,59.0,0.8,4.0,43.0,0.9,12.0,26.0,0.7,45.0,4.0,16.0
2005-10-15 13:00:00,13.0,1.4,69.0,2.2,15.0,3.0,67.0,0.5,22.0,1.0,9.0,68.0,0.7,10.0,51.0,0.8,6.0,40.0,0.6,31.0,10.92,15.0
2005-10-15 14:00:00,11.0,1.3,69.0,2.0,14.0,3.0,84.0,0.5,18.0,1.0,7.0,85.0,0.6,16.0,60.0,0.8,10.0,32.0,0.7,39.0,2.0,12.0
2005-10-15 15:00:00,20.0,1.4,72.0,2.0,11.0,5.0,85.0,0.4,20.0,1.0,17.0,73.0,0.7,17.0,71.0,0.7,8.0,44.0,0.6,39.0,1.0,12.0
